File Path,Recipient TransferEvents,Blocker TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_80rep_4_BlockerPercent_95_24-08-11-21-26-50/step-00700.pickle,11,289,674,1815,23,43061,2701
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_81rep_5_BlockerPercent_0_24-08-11-21-40-14/step-00700.pickle,1311,0,21625,3529,22805,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_82rep_5_BlockerPercent_5_24-08-11-21-54-18/step-00700.pickle,1186,124,26057,5477,14485,492,1482
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_83rep_5_BlockerPercent_10_24-08-11-22-08-34/step-00700.pickle,1182,228,23185,6695,14347,288,3329
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_84rep_5_BlockerPercent_15_24-08-12-00-00-57/step-00700.pickle,1117,363,24248,4364,16158,936,2984
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_85rep_5_BlockerPercent_20_24-08-12-01-14-04/step-00700.pickle,1051,519,19422,3888,10877,6528,7731
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_86rep_5_BlockerPercent_25_24-08-12-02-14-26/step-00700.pickle,895,591,14833,6237,10525,5033,10975
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_87rep_5_BlockerPercent_30_24-08-12-03-00-14/step-00700.pickle,847,727,16118,8974,9979,4751,8048
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_88rep_5_BlockerPercent_35_24-08-12-04-15-34/step-00700.pickle,739,851,14205,6626,10471,6478,10271
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_89rep_5_BlockerPercent_40_24-08-12-05-16-39/step-00700.pickle,669,944,10529,4202,6764,13550,13065
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_8rep_1_BlockerPercent_35_24-07-05-20-42-06/step-00700.pickle,742,825,13030,6509,6026,9117,13378
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_90rep_5_BlockerPercent_45_24-08-12-05-30-28/step-00700.pickle,589,1002,12470,4574,4306,15145,11461
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_91rep_5_BlockerPercent_50_24-08-12-06-35-56/step-00700.pickle,503,1024,8643,5050,4812,16558,12670
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_92rep_5_BlockerPercent_55_24-08-12-07-21-11/step-00700.pickle,433,1051,12056,6860,4762,12123,12122
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_93rep_5_BlockerPercent_60_24-08-12-07-55-42/step-00700.pickle,359,1015,10992,7980,3417,17147,8471
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_94rep_5_BlockerPercent_65_24-08-12-08-26-26/step-00700.pickle,257,1049,7985,3633,4158,18738,13531
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_95rep_5_BlockerPercent_70_24-08-12-09-36-55/step-00700.pickle,214,1117,7513,3873,2029,23186,11319
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_96rep_5_BlockerPercent_75_24-08-12-10-10-35/step-00700.pickle,165,920,4005,4336,2088,27202,10654
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_97rep_5_BlockerPercent_80_24-08-12-13-28-49/step-00700.pickle,116,852,3929,2786,1888,25845,13668
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_98rep_5_BlockerPercent_85_24-08-12-14-15-28/step-00700.pickle,58,703,2034,1984,163,32209,11339
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_99rep_5_BlockerPercent_90_24-08-12-14-30-07/step-00700.pickle,19,505,2258,4270,105,38715,2763
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_9rep_1_BlockerPercent_40_24-07-05-23-45-39/step-00700.pickle,633,902,15206,6431,7070,8798,10506
